City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
346,inarajan village,13.2736,144.7484,301.69,90,100,3.57,GU
347,georgetown,5.4112,100.3354,304.11,70,20,1.03,MY
348,woolgoolga,-30.1106,153.2007,293.73,54,0,3.73,AU
349,kalmunai,7.4167,81.8167,302.23,63,100,1.57,LK
350,lubao,14.9167,120.55,299.99,87,100,8.49,PH
351,san jose,37.3394,-121.895,297.51,66,0,13.86,US
352,tabas,33.5959,56.9244,306.59,18,1,1.71,IR
353,vanimo,-2.6741,141.3028,299.33,87,100,0.91,PG
354,kunri,25.1785,69.5691,302.97,72,89,6.28,PK
355,callao,-12.0667,-77.15,293.31,77,100,3.6,PE
356,itoman,26.1247,127.6694,303.16,79,75,8.23,JP
357,ercis,39.0287,43.3586,292.88,51,5,1.88,TR
358,rongelap,11.1635,166.8941,301.5,77,100,8.03,MH
359,flin flon,54.7682,-101.865,284.52,95,100,4.94,CA
360,zheleznodorozhnyy,55.7503,38.0042,290.44,86,87,0.99,RU
361,qusmuryn,52.4503,64.6311,296.0,57,49,2.25,KZ
362,chirilagua,13.2203,-88.1386,298.42,77,56,0.95,SV
363,ghadamis,30.1337,9.5007,304.54,33,0,4.83,LY
364,thurgoona,-36.0451,146.9919,289.07,100,0,0.45,AU
365,masuguru,-11.3667,38.4167,291.75,83,82,0.78,TZ
366,palu,-0.8917,119.8707,305.53,52,32,1.52,ID
367,stephenville,32.2207,-98.2023,306.22,34,0,5.14,US
368,morden,49.1919,-98.1014,298.07,38,45,2.57,CA
369,amble,55.3333,-1.5833,287.57,94,100,3.6,GB
370,antalaha,-14.9003,50.2788,293.13,90,29,4.51,MG
371,morondava,-20.2833,44.2833,291.31,65,0,4.4,MG
372,prainha,-1.8,-53.48,299.66,68,66,1.24,BR
373,ruggell,47.2333,9.5167,286.62,78,76,1.79,LI
374,as suwayrah,32.9256,44.7758,307.99,14,0,3.33,IQ
375,happy valley-goose bay,53.3168,-60.3315,290.26,64,32,1.96,CA
376,tura,25.5198,90.2201,298.61,94,99,2.66,IN
377,suileng,47.25,127.0833,301.39,74,92,6.05,CN
378,singrauli,24.1997,82.6753,302.52,63,80,5.29,IN
379,sakakah,29.9697,40.2064,303.2,16,33,1.59,SA
380,polyarnyy,69.1989,33.4478,283.57,95,100,0.54,RU
381,bodo,67.28,14.405,288.02,92,0,1.54,NO
382,popondetta,-8.7537,148.2534,304.91,52,86,2.9,PG
383,la ronge,55.1001,-105.2842,285.29,82,100,6.69,CA
384,idri,27.5,13.2667,301.66,12,0,1.61,LY
385,kawm umbu,24.4767,32.9463,305.66,16,100,2.86,EG
386,sinabang,2.4803,96.3801,302.11,71,79,1.41,ID
387,mil'kovo,55.6078,37.7956,290.42,87,73,1.23,RU
388,undurkhaan,47.3194,110.6556,296.93,40,0,3.89,MN
389,ambon,-3.6954,128.1814,300.86,75,40,1.54,ID
390,bolkhov,53.4433,36.0044,290.68,92,70,2.24,RU
391,tumaco,1.7986,-78.8156,298.49,88,21,2.32,CO
392,california,38.3004,-76.5074,300.17,90,0,3.6,US
393,katsuren-haebaru,26.3369,127.8719,303.16,79,100,6.17,JP
394,ouesso,1.6136,16.0517,295.69,92,88,0.69,CG
395,salalah,17.0151,54.0924,298.2,94,100,4.12,OM
396,sovetskiy,61.3614,63.5842,292.8,61,2,2.12,RU
397,marsabit,2.3284,37.9899,288.88,73,38,8.58,KE
398,bam,29.106,58.357,306.6,11,28,5.91,IR
399,sargur,11.9833,76.4167,295.47,85,100,4.13,IN
400,cururupu,-1.8283,-44.8683,297.07,89,28,1.9,BR
401,wad az zaki,14.4619,32.2065,300.84,58,86,5.22,SD
402,brisas de zicatela,15.8369,-97.0419,302.44,65,75,0.0,MX
403,vila franca do campo,37.7167,-25.4333,293.38,86,2,2.11,PT
404,sao joaquim,-28.2939,-49.9317,284.42,92,98,3.0,BR
